time , queue density , dynamic density
2091,0.010675,0.0113031
2096,0.0109125,0.0112406
2101,0.0254531,0.0313
2106,0.0498,0.0633969
2111,0.0731406,0.0923344
2116,0.106328,0.113162
2121,0.133544,0.113116
2126,0.153856,0.132775
2131,0.161256,0.163994
2136,0.166731,0.171209
2141,0.167316,0.1581
2146,0.167444,0.162291
2151,0.168381,0.160688
2156,0.175559,0.173809
2161,0.1799,0.166466
2166,0.156287,0.140338
2171,0.142781,0.122
2176,0.122466,0.101244
2181,0.0992719,0.0832656
2186,0.0803313,0.0730094
2191,0.0574187,0.0610281
2196,0.0351344,0.0412937
2201,0.0206094,0.0263656
2206,0.0132344,0.0170219
2211,0.00739687,0.0108344
2216,0.0049625,0.00632813
2221,0.00471875,0.005625
2226,0.00527187,0.00659688
2231,0.00577813,0.00731875
2236,0.00505625,0.00717188
2241,0.0064,0.0072875
2246,0.00726563,0.008725
2251,0.00751875,0.00979063
2256,0.00931875,0.0119
2261,0.0103125,0.0132812
2266,0.010875,0.0142156
2271,0.0270594,0.0440844
2276,0.0332219,0.0636625
2281,0.0418219,0.0734906
2286,0.0471969,0.0838719
2291,0.0514969,0.089975
2296,0.0531094,0.0890906
2301,0.0624094,0.0914375
2306,0.0666,0.092775
2311,0.0565187,0.0847187
2316,0.040925,0.0679969
2321,0.0354344,0.0600938
2326,0.030325,0.0518313
2331,0.0265656,0.0441563
2336,0.0200375,0.0331281
2341,0.0189813,0.0259969
2346,0.01635,0.0203156
2351,0.0137125,0.019625
2356,0.0100281,0.0197969
2361,0.00881563,0.0191281
2366,0.0132625,0.0257687
2371,0.0107094,0.0246906
2376,0.00850313,0.0176781
2381,0.00782813,0.0146469
2386,0.0291281,0.0406188
2391,0.04635,0.0831156
2396,0.0481813,0.109372
2401,0.0459469,0.103969
2406,0.0407187,0.0846719
2411,0.0396875,0.0709406
2416,0.0354812,0.0501344
2421,0.0268812,0.0326969
2426,0.0129625,0.0188656
2431,0.00565938,0.0122938
2436,0.0305844,0.0435813
2441,0.0376156,0.0508156
2446,0.0397812,0.0509812
2451,0.0387062,0.0542781
2456,0.0350344,0.0557219
2461,0.0454531,0.0589625
2466,0.0341438,0.0452094
2471,0.0184031,0.0297594
2476,0.0111125,0.0162625
2481,0.011425,0.0184125
2486,0.0130188,0.0230687
2491,0.0146125,0.0230813
2496,0.0154687,0.0236375
2501,0.0164094,0.0232875
2506,0.0164781,0.0235531
2511,0.0287,0.0383563
2516,0.0426469,0.070625
2521,0.0460062,0.0759781
2526,0.04845,0.0911187
2531,0.0508156,0.0927875
2536,0.04675,0.0943781
2541,0.0474562,0.0869438
2546,0.0487937,0.0793594
2551,0.0465531,0.0684625
2556,0.0394813,0.0514187
2561,0.0252188,0.0337594
2566,0.0103531,0.0186937
2571,0.00555312,0.00434688
2576,0.00550625,0.00241562
2581,0.00562813,0.00179062
2586,0.00544688,0.00334062
2591,0.00563125,0.00213125
2596,0.005675,0.00200937
2601,0.0056,0.00210312
2606,0.0056375,0.00167812
2611,0.00585,0.0025375
2616,0.00579687,0.00187188
2621,0.00585938,0.00215
2626,0.013775,0.0113594
2631,0.0324156,0.0408156
2636,0.0364969,0.0503094
2641,0.0594063,0.0887625
2646,0.0856281,0.146638
2651,0.0960687,0.208059
2656,0.103137,0.264597
2661,0.110559,0.250091
2666,0.100728,0.217166
2671,0.0876219,0.1989
2676,0.0791562,0.182756
